,Spanish,German,Japanese,Korean
m_start_uvDistortion,Distorsión UV,Verzerrung UV,UVの歪み,UV 왜곡
_EnableDistortion,Activado,Ermöglicht,有効,활성화
_DistortionUvToDistort,UV distorsionadas,Verzerrtes UV,歪ませるUV,왜곡할 UV
_DistortionMask,Máscara,Maske,マスク,마스크
_DistortionMaskPan,Barrido,Schwenken,パンニング,패닝
_DistortionMaskUV,UV,UV,UV,UV
_DistortionMaskChannel,Canal,Kanal,チャンネル,채널
_DistortionFlowTexture,Textura de distorsión 1,Verzerrungstextur 1,歪みテクスチャ 1,왜곡 텍스처 1
_DistortionFlowTexturePan,Barrido de textura,Schwenken,パンニング,패닝
_DistortionFlowTextureUV,UV de textura,UV,UV,UV
_DistortionFlowTexture1,Textura de distorsión 2,Verzerrungstextur 2,歪みテクスチャ 2,왜곡 텍스처 2
_DistortionFlowTexture1Pan,Barrido de textura,Schwenken,パンニング,패닝
_DistortionFlowTexture1UV,UV de textura,UV,UV,UV
_DistortionStrength,Intensidad1,Stärke1,強さ1,강도1
_DistortionStrength1,Intensidad2,Stärke2,強さ2,강도2
m_start_DistortionAudioLink,AudioLink ♫,Audiolink ♫,オーディオリンク♫,오디오링크♫
_EnableDistortionAudioLink,Activado,Ermöglicht,有効,활성화
_DistortionStrengthAudioLinkBand,Banda de la intensidad 1,Band der Stärke 1,強度 1 バンド,강도 1 밴드
_DistortionStrengthAudioLink,Rango de desplazamiento de la intensidad 1,Stärke 1 Offset-Bereich,強度 1 オフセット範囲,강도 1 오프셋 범위
_DistortionStrength1AudioLinkBand,Banda de la intensidad 2,Stärke 2-Band,強度 2 バンド,강도 2 밴드
_DistortionStrength1AudioLink,Rango de desplazamiento de la intensidad 2,Stärke 2 Offset-Bereich,強度 2 オフセット範囲,강도 2 오프셋 범위
m_end_DistortionAudioLink,AudioLink,Audiolink,オーディオリンク,오디오링크
m_end_uvDistortion,Distorsión UV,Verzerrung UV,UVの歪み,UV 왜곡
m_start_uvPanosphere,Esfera panorámica UV (Panosphere UV),Panosphäre UV,パノスフィア UV,파노스피어 UV
_StereoEnabled,Activar estéreo,Stereo aktiviert,ステレオの有効化,스테레오 활성화
_PanoUseBothEyes,Perspectiva correcta (Modo VR),Perspektive korrekt (VR),パースペクティブ コレクト (VR),원근 보정 (VR)
m_end_uvPanosphere,Esfera panorámica UV (Panosphere UV),Panosphäre UV,パノスフィア UV,파노스피어 UV
m_start_uvPolar,UV polares,Polares UV,極線・集中線UV,극선/집중선 UV
_PolarUV,UV,UV,UV,UV
_PolarCenter,Coordenadas centrales,Zentrumskoordinate,中心座標,중심 좌표
_PolarRadialScale,Escala radial,Radiale Skala,放射状スケール,방사형 스케일
_PolarLengthScale,Escala longitudinal,Längenskala,長さスケール,길이 스케일
_PolarSpiralPower,Intensidad espiral,Spiralkraft,スパイラルパワー,나선 파워
m_end_uvPolar,UV polares,Polares UV,極線・集中線UV,극선/집중선 UV
m_start_parallax,Mapeo de altura con paralaje,Parallax Heightmapping,視差のハイトマッピング,시차 높이 매핑
_PoiParallax,Activar,Aktivieren,有効,활성화
_ParallaxUV,Se aplica a:,Gilt für:,適用先：,적용 대상:
_HeightMap,Mapa de altura,Höhenkarte,ハイトマップ,높이 맵
_HeightMapPan,Barrido,Schwenken,パンニング,패닝
_HeightMapUV,UV,UV,UV,UV
_Heightmask,Máscara,Maske,マスク,마스크
_HeightmaskPan,Barrido,Schwenken,パンニング,패닝
_HeightmaskChannel,Canal,Kanal,チャンネル,채널
_HeightmaskInvert,Invertir,Umkehren,反転,반전
_HeightmaskUV,UV,UV,UV,UV
_HeightStrength,Intensidad,Stärke,強さ,강도
_CurvatureU,Curvatura de U,U-Bögenco,曲率 U,곡률 U
_CurvatureV,Curvatura de V,Krümmung v,曲率 V,곡률 V
_HeightStepsMin,Pasos mínimo,Schritte min,最小歩数,최소 걸음 수
_HeightStepsMax,Pasos máximo,Schritte max,最大歩数,최대 걸음 수
_CurvFix,Sesgo de curvatura,Krümmungsverzerrung,曲面の傾き,곡면 기울기
m_end_parallax,Mapeo de altura con paralaje,Parallax Heightmapping,視差のハイトマッピング,시차 높이 매핑
m_start_BlackLightMasking,Enmascarado de luz negra,Schwarzlichtmaskierung,ブラックライトマスキング,블랙라이트 마스킹
_BlackLightMaskingEnabled,Enmascarado de luz negra activado,BlackLight-Maskierung aktiviert,ブラックライトマスキング有効,블랙라이트 마스킹 활성화
_BlackLightMasking0Key,Clave,Taste,キー,키
_BlackLightMasking0Range,Rango,Bereich,範囲,범위
_BlackLightMasking0GlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_BlackLightMasking0GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_BlackLightMasking1Key,Clave,Taste,キー,키
_BlackLightMasking1Range,Rango,Bereich,範囲,범위
_BlackLightMasking1GlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_BlackLightMasking1GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_BlackLightMasking2Key,Clave,Taste,キー,키
_BlackLightMasking2Range,Rango,Bereich,範囲,범위
_BlackLightMasking2GlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_BlackLightMasking2GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
_BlackLightMasking3Key,Clave,Taste,キー,키
_BlackLightMasking3Range,Rango,Bereich,範囲,범위
_BlackLightMasking3GlobalMaskIndex,Aplicar a la máscara global,Bewerben Sie sich bei Global Mask,グローバルマスクに適用,글로벌 마스크에 적용
_BlackLightMasking3GlobalMaskBlendType,Tipo de mezcla,Mischen,ブレンディング,블렌딩
m_end_BlackLightMasking,Enmascarado de luz negra,Schwarzlichtmaskierung,ブラックライトマスキング,블랙라이트 마스킹
m_start_normalCorrect,Corrección de las normales,Normal richtig,ノーマル補正,노멀 보정
_NormalCorrect,Activar,Aktivieren,有効,활성화
_NormalCorrectAmount,Cantidad de corrección,Normale korrekte Menge,ノーマルの補正値,노멀 보정값
_NormalCorrectOrigin,Origen,Herkunft,原点,원점
m_postprocessing,Posprocesado,Nachbearbeitung,後処理,후처리
_PPHelp,Esta sección está destinada a ajustes en tiempo real a través de animaciones y no para ser cambiados en Unity,Dieser Abschnitt ist für Echtzeitanpassungen durch Animationen gedacht und darf nicht in Einheit geändert werden,このセクションは、アニメーションによるリアルタイムの調整を目的としており、統一されたものではありません,"이 섹션은 애니메이션에 의한 실시간 조정을 목적으로 하며, 통합된 것이 아닙니다."
_PPLightingMultiplier,Multiplicador de iluminación,Beleuchtungsmultiplikator,光源値乗数,광원값 배율
_PPLightingAddition,Iluminación adicional,Beleuchtung zusätzl,光源値追加,광원값 추가
_PPEmissionMultiplier,Multiplicador de emisión,Emissionsmultiplikator,発光乗数,발광 배율
_PPFinalColorMultiplier,Multiplicador de color final,Endgültiger Farbmultiplikator,最終色乗数,최종 색상 배율
m_start_postprocess,Posprocesado,Nachbearbeitung,後処理,후처리
_PostProcess,Activar,Aktivieren,有効,활성화
_PPMask,Máscara,Maske,マスク,마스크
_PPMaskPan,Barrido,Schwenken,パンニング,패닝
_PPMaskChannel,Canal,Kanal,チャンネル,채널
_PPMaskInvert,Invertir,Umkehren,反転,반전
_PPMaskUV,UV,UV,UV,UV
_PPHue,Tono,Farbton,色調,색조
_PPTint,Tinte,Farbton,色合い,색合い
_PPRGB,RGB,RGB,RGB,RGB
_PPContrast,Contraste,Kontrast,対比,대비
_PPSaturation,Saturación,Sättigung,色調,채도
_PPBrightness,Brillo,Helligkeit,明るさ,밝기
_PPLightness,Ligereza,Leichtigkeit,明度,명도
_PPHDR,HDR,HDR,HDR,HDR
_PPPosterization,<size=13><b>Posterización </b></size>,<size=13><b> Posterisierung</b></size>,<size=13><b>ポスタリゼーション</b></size>,<size=13><b>포스터리제이션</b></size>
_PPPosterizationAmount,Pasos,Schritte,手数,단계
m_renderingCategory,Renderizado,Rendern,レンダリング,렌더링
_Cull,Descarte de caras (Cull),Pflücken,Cull (描画面),Cull (그리기 면)
_ZTest,Prueba de profundidad (ZTest),ZTest,Z Test,Z 테스트
_ZWrite,Escritura de profundidad (ZWrite),ZSchreiben,ZWrite,Z 쓰기
_ColorMask,Máscara de color,Farbmaske,カラーマスク,컬러 마스크
_OffsetFactor,Factor de desplazamiento,Offset-Faktor,オフセット係数,오프셋 계수
_OffsetUnits,Unidades de desplazamiento,Offset-Einheiten,オフセット単位,오프셋 단위
_RenderingReduceClipDistance,Reducir la distancia de recorte,Reduzieren Sie den Schnittabstand,距離クリッピングキャンセラー,거리 클리핑 취소
_IgnoreFog,Ignorar niebla,Nebel ignorieren,フォグを無視する,안개 무시
Instancing,Instanciado,Instanziierung,インスタンス化,인스턴스화
m_start_blending,Mezcla,Mischen,ブレンディング,블렌딩
_BlendOp,Operación de mezcla RGB,RGB-Mischop,RGB ブレンド Op,RGB 블렌드 Op
_SrcBlend,Factor de mezcla del RGB origen,RGB-Quellmischung,RGB ソース ブレンド,RGB 소스 블렌드
_DstBlend,Factor de mezcla del RGB destino,RGB-Zielmischung,RGB デスティネーション ブレンド,RGB 대상 블렌드
_AddBlendOp,Operación de mezcla RGB,RGB-Mischop,RGB ブレンド Op,RGB 블렌드 Op
_AddSrcBlend,Factor de mezcla del RGB origen,RGB-Quellmischung,RGB ソース ブレンド,RGB 소스 블렌드
_AddDstBlend,Factor de mezcla del RGB destino,RGB-Zielmischung,RGB デスティネーション ブレンド,RGB 대상 블렌드
m_start_alphaBlending,Mezcla avanzada de alfa,Erweitertes Alpha-Blending,高度なアルファ ブレンディング,고급 알파 블렌딩
_BlendOpAlpha,Operación de mezcla alfa,Alpha Blend Op,アルファ ブレンド Op,알파 블렌드 Op
_SrcBlendAlpha,Factor de mezcla del alfa origen,Alpha-Quellen-Mischung,アルファ ソース ブレンド,알파 소스 블렌드
_DstBlendAlpha,Factor de mezcla del alfa destino,Alpha-Destination-Mischung,アルファ デスティネーション ブレンド,알파 대상 블렌드
_AddBlendOpAlpha,Operación de mezcla alfa,Alpha Blend Op,アルファ ブレンド Op,알파 블렌드 Op
_AddSrcBlendAlpha,Factor de mezcla del alfa origen,Alpha-Quellen-Mischung,アルファ ソース ブレンド,알파 소스 블렌드
_AddDstBlendAlpha,Factor de mezcla del alfa destino,Alpha-Destination-Mischung,アルファ デスティネーション ブレンド,알파 대상 블렌드
m_end_alphaBlending,Mezcla avanzada de alfa,Erweitertes Alpha-Blending,高度なアルファ ブレンディング,고급 알파 블렌딩
m_end_blending,Mezcla,Mischen,ブレンディング,블렌딩
m_start_StencilPassOptions,Esténcil,Schablone,ステンシル,스텐실
_StencilType,Tipo de esténcil,Schablonentyp,ステンシルの種類,스텐실 종류
_StencilRef,Valor de referencia,Schablonenbezugswert,ステンシル Ref 値,스텐실 Ref 값
_StencilReadMask,Valor de máscara de lectura,Stencil ReadMask-Wert,ステンシル ReadMask 値,스텐실 ReadMask 값
_StencilWriteMask,Valor de máscara de escritura,Stencil WriteMask-Wert,ステンシル WriteMask 値,스텐실 WriteMask 값
_StencilPassOp,Operación del esténcil al cumplirse,Schablonenpass Op,ステンシル Pass Op,스텐실 Pass Op
_StencilFailOp,Operación del esténcil al fallar,Stencil Fail Op,ステンシル Fail Op,스텐실 Fail Op
_StencilZFailOp,Operación del esténcil al fallar la profundidad (ZFail),Schablone ZFail Open,ステンシル ZFail Op,스텐실 ZFail Op
_StencilCompareFunction,Función de comparación,Stencil-Vergleichsfunktion,ステンシル比較機能,스텐실 비교 기능
m_start_StencilPassBackOptions,Cara trasera,Der Rücken,戻る,뒤로
_FFBFStencilHelp0,Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity,Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind,正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。,전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.
_StencilBackPassOp,Operación del esténcil al cumplirse,Rückpass Oplb,バックパス作戦lb,백 패스 작전 lb
_StencilBackFailOp,Operación del esténcil al fallar,Back-Fail-Op,バック フェイル オペレーション,백 페일 오퍼레이션
_StencilBackZFailOp,Operación del esténcil al fallar la profundidad (ZFail),Zurück ZFail Op,バック ZFail Op,백 ZFail Op
_StencilBackCompareFunction,Función de comparación,Rückvergleichsfunktion,バックコンペア機能,백 비교 기능
m_end_StencilPassBackOptions,Cara trasera,Der Rücken,戻る,뒤로
m_start_StencilPassFrontOptions,Cara frontal,Vorderseite,正面,정면
_FFBFStencilHelp1,Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity,Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind,正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。,전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.
_StencilFrontPassOp,Operación del esténcil al cumplirse,Front Pass Op,フロントパスオペレーション,프론트 패스 오퍼레이션
_StencilFrontFailOp,Operación del esténcil al fallar,Frontausfall Open,フロントフェイルオペレーション,프론트 페일 오퍼레이션
_StencilFrontZFailOp,Operación del esténcil al fallar la profundidad (ZFail),Front ZFail Op,フロント ZFail Op,프론트 ZFail Op
_StencilFrontCompareFunction,Función de comparación,Vorderseite Vergleichsfunktion,フロントコンペア機能,프론트 비교 기능
m_end_StencilPassFrontOptions,Cara frontal,Vorderseite,正面,정면
m_end_StencilPassOptions,Esténcil,Schablone,ステンシル,스텐실
m_start_OutlineStencil,Esténcil del contorno,Gliederungsschablone,輪郭線 ステンシル,윤곽선 스텐실
_OutlineStencilType,Tipo de esténcil,Schablonentyp,ステンシルの種類,스텐실 종류
_OutlineStencilRef,Valor de referencia,Schablonenbezugswert,ステンシル Ref 値,스텐실 Ref 값
_OutlineStencilReadMask,Valor de máscara de lectura,Stencil ReadMask-Wert,ステンシル ReadMask 値,스텐실 ReadMask 값
_OutlineStencilWriteMask,Valor de máscara de escritura,Stencil WriteMask-Wert,ステンシル WriteMask 値,스텐실 WriteMask 값
_OutlineStencilPassOp,Operación del esténcil al cumplirse,Schablonenpass Op,ステンシル Pass Op,스텐실 Pass Op
_OutlineStencilFailOp,Operación del esténcil al fallar,Stencil Fail Op,ステンシル Fail Op,스텐실 Fail Op
_OutlineStencilZFailOp,Operación del esténcil al fallar la profundidad (ZFail),Schablone ZFail Open,ステンシル ZFail Op,스텐실 ZFail Op
_OutlineStencilCompareFunction,Función de comparación,Stencil-Vergleichsfunktion,ステンシル比較機能,스텐실 비교 기능
m_start_OutlineStencilPassBackOptions,Cara trasera,Der Rücken,戻る,뒤로
_FFBFOutlineStencilHelp0,Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity,Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind,正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。,전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.
_OutlineStencilBackPassOp,Operación del esténcil al cumplirse,Rückpass Oplb,バックパス作戦,백 패스 작전
_OutlineStencilBackFailOp,Operación del esténcil al fallar,Back-Fail-Op,バック フェイル オペレーション,백 페일 오퍼레이션
_OutlineStencilBackZFailOp,Operación del esténcil al fallar la profundidad (ZFail),Zurück ZFail Op,バック ZFail Op,백 ZFail Op
_OutlineStencilBackCompareFunction,Función de comparación,Rückvergleichsfunktion,バックコンペア機能,백 비교 기능
m_end_OutlineStencilPassBackOptions,Cara trasera,Der Rücken,戻る,뒤로
m_start_OutlineStencilPassFrontOptions,Cara frontal,Vorderseite,正面,정면
_FFBFOutlineStencilHelp1,Los esténciles de la cara frontal y la cara trasera solo funcionan cuando se bloquean debido a la gestión de los esténciles en Unity,Vorder- und Rückseitenschablonen funktionieren nur wenn sie aufgrund der Schablonenverwaltung von Unity gesperrt sind,正面と背面のテンプレートは、Unityのテンプレート管理によりロックされている場合にのみ機能します。,전면 및 후면 스텐실은 Unity의 스텐실 관리로 인해 잠겨 있을 때만 작동합니다.
_OutlineStencilFrontPassOp,Operación del esténcil al cumplirse,Front Pass Op,フロントパスオペレーション,프론트 패스 오퍼레이션
_OutlineStencilFrontFailOp,Operación del esténcil al fallar,Frontausfall Open,フロントフェイルオペレーション,프론트 페일 오퍼레이션
_OutlineStencilFrontZFailOp,Operación del esténcil al fallar la profundidad (ZFail),Front ZFail Op,フロント ZFail Op,프론트 ZFail Op
